id,姓名,字,号,性别,生年,卒年,享年,籍贯,具体出生地,主要活动地,朝代,民族,旗籍,社会阶层,生平简介,著作总数,诗集名称,词集名称,文集名称,其他作品,总作品数量,代表作品,作品风格,文学流派,艺术特色,创作主题,文学成就,保存状态,父亲,母亲,丈夫,子女,兄弟,姐妹,姻亲关系,师长,学生,文学友人,唱和对象,文学社团,交往圈子,赞助人,编辑出版者,出生地_现代地名,出生地_经度,出生地_纬度,活动地_现代地名,活动地_经度,活动地_纬度,迁徙轨迹,主要活动区域,同时代评价,后世影响,研究热度,现存研究资料,数字化程度,备注,,
1,顾太清,子春,云槎外史,女,1799,1877,79,满洲镶蓝旗,北京,北京、江南,清,满族,镶蓝旗,宗室妃嫔,满洲镶蓝旗人，贝勒奕绘侧福晋，清代著名女词人，与纳兰性德齐名,5,《天游阁集》,《东海渔歌》,《红楼梦影》,,200,《东海渔歌》,婉约清丽,满洲贵族文学,情感真挚，语言优美，意境深远,闺情、山水、咏史、抒怀,清代满族女词人之冠，与纳兰性德并称,完整保存,鄂实峰,,奕绘,载钊、载初,鄂少峰,,,奕绘,,沈善宝、汪端,奕绘、沈善宝,秋红吟社,满洲贵族文人圈,,,北京市,116.4074,39.9042,北京、杭州,,,北京→江南→北京,京津冀、江南,才情横溢，为满洲女词人之冠,影响深远,高,较多,已数字化,《清代闺秀诗话》有详细记载,,
2,汪端,,,女,1793,1839,47,浙江钱塘,杭州,杭州,清,汉族,,官宦闺秀,清代著名女诗人，陈裴之之妻，才情出众，早年丧夫后专心著述,3,《自然好学斋诗钞》,,,,150,《自然好学斋诗钞》,清丽婉转,江南闺秀诗派,诗风清丽，情感细腻，格调高雅,闺情、咏史、感怀、悼亡,清代重要女诗人，诗作广为传诵,完整保存,汪瑜,,陈裴之,陈孝如,,,,梁德绳,,顾太清、沈善宝,顾太清、沈善宝,,江南闺秀,,,杭州市,120.1551,30.2741,杭州,,,,江南地区,诗才清妙，为闺秀之冠,重要研究对象,中,较多,部分数字化,与顾太清交往密切,,
3,骆绮兰,,,女,1756,1815,60,江苏句容,南京,南京、扬州,清,汉族,,文人闺秀,袁枚女弟子，性灵派重要女诗人，晚年以教授女弟子为生,4,《听秋轩诗集》,,,,180,《听秋轩诗集》,性灵洒脱,性灵派,直抒胸臆，不拘格套，语言自然,生活感悟、女性处境、社会观察,性灵派重要女诗人，袁枚高度评价,完整保存,,,,,,,,袁枚,王文治,袁枚、王文治,袁枚、王文治,性灵派,文人雅士圈,,,南京市,118.7969,32.0603,南京、扬州,,,,江南地区,才情俊爽，为随园女弟子之翘楚,研究较多,中,丰富,已数字化,袁枚《随园诗话》多有其作,,
4,归懋仪,,,女,1762,1832,71,江苏常熟,常熟,常熟、苏州、上海,清,汉族,,官宦闺秀,清代著名女诗人，工诗词，与袁枚、王文治等交往，诗作颇丰,6,《绣余续草》,《听雪词》,,,300,《绣余续草》,婉约细腻,江南闺秀诗派,诗词兼工，风格婉约，情感真挚,闺情、咏物、感怀、交游,诗词成就突出，与多位名家唱和,完整保存,归朝煦,,李学璜,李复,,,,袁枚、王文治,,袁枚、王文治、骆绮兰,袁枚、王文治,,江南文人圈,,,常熟市,120.7523,31.6461,苏州、上海,,,,江南地区,才女中之佼佼者,影响较大,中,较多,部分数字化,《江南女性别集》收录其作,,
5,沈善宝,,,女,1808,1862,55,浙江钱塘,杭州,杭州、北京,清,汉族,,文人闺秀,清代女诗人、词人，编纂《名媛诗话》，对女性文学有重要贡献,4,《鸿雪楼诗集》,《鸿雪楼词》,,,180,《鸿雪楼诗集》,豪放洒脱,综合各派,风格多样，既有婉约又有豪放,女性命运、社会现实、历史感慨,编纂《名媛诗话》保存大量女性作品,完整保存,沈学琳,,来秀,,,,,顾太清、汪端,,顾太清、汪端,顾太清、汪端,,女性文人圈,,,杭州市,120.1551,30.2741,杭州、北京,,,,江南、京津冀,编纂《名媛诗话》功不可没,重要文献价值,高,丰富,已数字化,《名媛诗话》是重要文献,,
6,王端淑,,,女,1621,1706,86,浙江山阴,绍兴,绍兴,清,汉族,,文人闺秀,明末清初著名才女，工诗词书画，著述丰富，晚年贫困,8,《吟红集》,《名媛诗纬》,《留篁集》,,400,《吟红集》,沉郁苍凉,遗民文学,风格沉郁，寄托故国之思,遗民情怀、女性处境、历史感慨,明末清初重要女作家,部分散佚,王思任,,丁圣肇,,,,,商景兰,,黄媛介、商景兰,黄媛介、商景兰,,遗民文人圈,,,绍兴市,120.5829,30.0303,绍兴,,,,浙江地区,才情卓绝，为一时之冠,研究价值高,中,有限,部分数字化,明末清初重要女作家,,
7,徐灿,,,女,1610,1698,89,江苏吴县,苏州,苏州、北京,清,汉族,,官宦闺秀,清初著名女词人，与顾太清齐名，词作成就很高,3,《拙政园诗集》,《拙政园诗余》,,,150,《拙政园诗余》,婉约深沉,江南词派,词风婉约深沉，情感真挚,家国情怀、个人感怀、闺情,清初重要女词人，成就突出,完整保存,徐子懋,,陈之遴,陈坚永,,,,吴伟业,,吴伟业等,吴伟业,,文人雅士圈,,,苏州市,120.5853,31.2990,苏州、北京,,,,江南、京津冀,清初女词人第一,影响深远,高,较多,已数字化,与顾太清并称,,
8,吴藻,,,女,1799,1862,64,浙江仁和,杭州,杭州,清,汉族,,商人家庭,清代著名女词人，性格豪放，词风独特，晚年学佛,4,《花帘词》,《香南雪北词》,,,200,《花帘词》,豪放洒脱,个性派,风格豪放，突破闺阁限制,女性意识、人生感慨、佛理,清代重要女词人，风格独特,完整保存,吴葆真,,黄某,,,,,陈文述,,赵庆熺等,赵庆熺,,文人圈子,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,清代女词人中之异数,研究较多,中,较多,部分数字化,词风豪放独特,,
9,贺双卿,,,女,1715,1735,21,江苏丹阳,丹阳,丹阳,清,汉族,,农家女,清代农家女词人，命运悲惨，词作真挚动人,1,《雪压轩词》,,,,50,《雪压轩词》,凄婉动人,民间词人,词风凄婉，情感真挚动人,农家生活、个人悲苦、自然景物,清代重要民间女词人,部分保存,,,,周,,,,史震林,,史震林,史震林,,民间文人,,,丹阳市,119.6067,32.0101,丹阳,,,,江苏农村,词作真挚动人,影响较大,高,有限,已数字化,农家女词人罕见,,
10,席佩兰,,,女,1760,1825,66,江苏常熟,常熟,常熟,清,汉族,,官宦闺秀,袁枚女弟子，工诗词，与丈夫孙原湘并称,3,《长真阁集》,,,,120,《长真阁集》,清丽自然,性灵派,诗风清丽自然，情感真挚,闺情、家庭生活、自然景物,袁枚重要女弟子,完整保存,席鏊,,孙原湘,孙,,,,袁枚,,袁枚、归懋仪,袁枚、归懋仪,性灵派,文人圈子,,,常熟市,120.7523,31.6461,常熟,,,,江南地区,袁枚高足，诗才出众,研究较多,中,较多,部分数字化,夫妇皆能诗,,
